19 окт. 2025 13:55:42,826 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,826 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 2704, Current connections count : 4
19 окт. 2025 13:55:42,827 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 60204, Current connections count : 4
19 окт. 2025 13:55:42,827 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6448, Current connections count : 4
19 окт. 2025 13:55:43,056 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 67560, Time : 227, Current connections count : 5
19 окт. 2025 13:55:43,107 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 2660, Time : 272, Current connections count : 6
19 окт. 2025 13:55:43,329 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 55412, Time : 501, Current connections count : 7
19 окт. 2025 13:55:44,076 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 67560, Current connections count : 7
19 окт. 2025 13:55:48,789 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 55412, Current connections count : 7
19 окт. 2025 13:55:48,858 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 6448, Current connections count : 7
19 окт. 2025 13:55:48,964 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 2660, Current connections count : 7
19 окт. 2025 13:55:49,179 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 60204, Current connections count : 7
19 окт. 2025 13:55:49,190 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:49,548 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,640 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,641 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,653 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,654 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,659 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:49,740 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:49,750 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:49,897 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:49,900 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:50,680 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:50,685 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 2704, Current connections count : 7
19 окт. 2025 13:55:51,530 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,533 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,544 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,555 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,555 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,558 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,564 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,567 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,570 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,571 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,572 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,575 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,578 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,580 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,581 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,583 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,584 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,586 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,586 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,589 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,589 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,592 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,592 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 47612, Current connections count : 7
19 окт. 2025 13:55:51,594 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 47612, Current connections count : 7
